time,badj_open,badj_high,badj_low,badj_close,unadj_open,unadj_high,unadj_low,unadj_close,source,conflict,unadj_prev_close,badj_prev_close,badj_close_delta,badj_open_gap_delta,continuous_return,continuous_gap_return,unadj_raw_return,estimated_roll_effect_return,mnq_point_pnl_per_contract,nq_point_pnl_per_contract
2007-07-30,5485.5,5517.25,5478.25,5514.25,1964.5,1996.25,1957.25,1993.25,long_file_only,False,1963.5,5484.5,29.75,1.0,0.015151515151515152,0.0005092946269416857,0.015151515151515138,-1.3877787807814457e-17,59.5,595.0
2007-07-31,5513.5,5532.5,5463.25,5466.75,1992.5,2011.5,1942.25,1945.75,long_file_only,False,1993.25,5514.25,-47.5,-0.75,-0.023830427693465446,-0.0003762699109494544,-0.02383042769346544,6.938893903907228e-18,-95.0,-950.0
2007-08-01,5472.5,5484.5,5444.75,5481.5,1951.5,1963.5,1923.75,1960.5,long_file_only,False,1945.75,5466.75,14.75,5.75,0.0075806244378774255,0.0029551586791725557,0.007580624437877326,-9.974659986866641e-17,29.5,295.0
2007-08-02,5483.25,5503.0,5472.5,5501.0,1962.25,1982.0,1951.5,1980.0,long_file_only,False,1960.5,5481.5,19.5,1.75,0.009946442234123947,0.0008926294312675338,0.009946442234123998,5.0306980803327406e-17,39.0,390.0
2007-08-03,5500.25,5502.5,5449.5,5460.5,1979.25,1981.5,1928.5,1939.5,long_file_only,False,1980.0,5501.0,-40.5,-0.75,-0.020454545454545454,-0.0003787878787878788,-0.020454545454545503,-4.85722573273506e-17,-81.0,-810.0
2007-08-06,5456.5,5485.75,5445.0,5483.5,1935.5,1964.75,1924.0,1962.5,long_file_only,False,1939.5,5460.5,23.0,-4.0,0.011858726475895849,-0.0020623872131992783,0.011858726475895809,-3.9898639947466563e-17,46.0,460.0
2007-08-07,5483.0,5510.0,5463.5,5495.0,1962.0,1989.0,1942.5,1974.0,long_file_only,False,1962.5,5483.5,11.5,-0.5,0.005859872611464968,-0.00025477707006369424,0.0058598726114649224,-4.597017211338539e-17,23.0,230.0
2007-08-08,5494.5,5527.75,5491.5,5520.25,1973.5,2006.75,1970.5,1999.25,long_file_only,False,1974.0,5495.0,25.25,-0.5,0.01279128672745694,-0.00025329280648429586,0.012791286727456885,-5.551115123125783e-17,50.5,505.0
2007-08-09,5518.5,5523.25,5463.5,5466.5,1997.5,2002.25,1942.5,1945.5,long_file_only,False,1999.25,5520.25,-53.75,-1.75,-0.026885081905714644,-0.0008753282480930349,-0.026885081905714592,5.204170427930421e-17,-107.5,-1075.0
2007-08-10,5466.25,5476.75,5427.75,5450.0,1945.25,1955.75,1906.75,1929.0,long_file_only,False,1945.5,5466.5,-16.5,-0.25,-0.008481110254433308,-0.00012850167052171679,-0.008481110254433322,-1.3877787807814457e-17,-33.0,-330.0
2007-08-13,5454.25,5478.25,5453.0,5463.5,1933.25,1957.25,1932.0,1942.5,long_file_only,False,1929.0,5450.0,13.5,4.25,0.006998444790046656,0.0022032141005702438,0.006998444790046632,-2.42861286636753e-17,27.0,270.0
2007-08-14,5463.0,5472.75,5431.25,5435.75,1942.0,1951.75,1910.25,1914.75,long_file_only,False,1942.5,5463.5,-27.75,-0.5,-0.014285714285714285,-0.0002574002574002574,-0.014285714285714235,5.0306980803327406e-17,-55.5,-555.0
2007-08-15,5435.25,5444.75,5393.75,5399.5,1914.25,1923.75,1872.75,1878.5,long_file_only,False,1914.75,5435.75,-36.25,-0.5,-0.018931975453714583,-0.0002611306959133046,-0.01893197545371461,-2.7755575615628914e-17,-72.5,-725.0
2007-08-16,5398.5,5399.75,5334.75,5377.5,1877.5,1878.75,1813.75,1856.5,long_file_only,False,1878.5,5399.5,-22.0,-1.0,-0.011711471919084376,-0.0005323396326856535,-0.011711471919084393,-1.734723475976807e-17,-44.0,-440.0
2007-08-17,5381.0,5434.0,5350.25,5413.25,1860.0,1913.0,1829.25,1892.25,long_file_only,False,1856.5,5377.5,35.75,3.5,0.01925666576892001,0.0018852679773767843,0.019256665768919934,-7.632783294297951e-17,71.5,715.0
2007-08-20,5415.5,5428.5,5402.25,5418.75,1894.5,1907.5,1881.25,1897.75,long_file_only,False,1892.25,5413.25,5.5,2.25,0.0029065926806711587,0.0011890606420927466,0.0029065926806710607,-9.80118763926896e-17,11.0,110.0
2007-08-21,5419.25,5445.0,5409.75,5440.75,1898.25,1924.0,1888.75,1919.75,long_file_only,False,1897.75,5418.75,22.0,0.5,0.011592675536819919,0.00026346989856408903,0.011592675536819863,-5.551115123125783e-17,44.0,440.0
2007-08-22,5441.5,5467.25,5438.75,5466.0,1920.5,1946.25,1917.75,1945.0,long_file_only,False,1919.75,5440.75,25.25,0.75,0.01315275426487824,0.00039067586925380907,0.013152754264878164,-7.632783294297951e-17,50.5,505.0
