date,TQQQ,Daily,Weekly,Monthly
2011-01-04,0.998447472991649,1.0,1.0,1.0
2011-01-05,1.0232275200081076,1.0323981295925184,1.0323981295925184,1.0323981295925184
2011-01-06,1.032479810037903,1.0412677247140314,1.0410821643286574,1.0410821643286574
2011-01-07,1.0300848445868165,1.036649053969463,1.0365816118753715,1.0365816118753715
2011-01-10,1.0416673628700235,1.0498076171874884,1.0497393190263842,1.049434149373866
2011-01-11,1.0464549623004913,1.0539470557656647,1.0538436896849317,1.05344216540593
2011-01-12,1.0676774166423095,1.0800671389387468,1.0796729117082517,1.0786612961782882
2011-01-13,1.0710411085868181,1.0776065824278211,1.0772786954907658,1.076323286826251
2011-01-14,1.0942686285949255,1.1018237751932711,1.1008788267774137,1.0993693790106196
2011-01-18,1.1030014667288497,1.1171400755165397,1.116181991503091,1.1137314364588493
2011-01-19,1.0660599970048361,1.0651785537238765,1.064741124076659,1.065464180891684
2011-01-20,1.04211943523362,1.0470735358135557,1.0462349713851422,1.048096111419406
2011-01-21,1.0183109901923533,1.0297057706677,1.0282833278538366,1.0312383267374643
2011-01-24,1.060365377365404,1.0691876578638613,1.067710674492569,1.0699824817140842
2011-01-25,1.0640523667196713,1.0738882548961883,1.072293238943873,1.074488817345604
2011-01-26,1.0805518033972494,1.09786970747468,1.0955781543424072,1.097367077898372
2011-01-27,1.1013841248070997,1.1044312038512205,1.1018646956619502,1.1035478641203866
2011-01-28,1.0183109901923535,1.0258278439559314,1.0269316342011798,1.029910055463721
2011-01-31,1.0333866748154195,1.0421108256060256,1.0432321363313573,1.0459421195919776
2011-02-01,1.090773053067638,1.1003867599326784,1.1009630813757358,1.1044323039112658
2011-02-02,1.0858560569575433,1.0964779587402373,1.09722754963757,1.1006476449259002
2011-02-03,1.090062420491958,1.0993139832051328,1.0999442999925997,1.1034001241879843
2011-02-04,1.109732192393978,1.1218577154520395,1.1215102181398195,1.1252479790825207
2011-02-07,1.1258411852766943,1.1324831435755272,1.132132355019094,1.1353961285099676
2011-02-08,1.1498460956669678,1.1581994452366773,1.1576811974216374,1.1598243819609644
2011-02-09,1.1428574315155449,1.1576411928176527,1.1571384693401754,1.1593135523942095
2011-02-10,1.1484227321910732,1.1567291942589168,1.1562419476678423,1.158448259173929
2011-02-11,1.1719729278831508,1.1809731214806025,1.1799915758166855,1.181156213086123
2011-02-14,1.17934947121056,1.1861871308469627,1.1852012516481056,1.1859730517947704
2011-02-15,1.1763084549500216,1.1859949775881178,1.185010351926987,1.1858103342069604
2011-02-16,1.1980474079902181,1.2016820831073391,1.2006393794212478,1.2002608503329022
2011-02-17,1.1970115351116923,1.2039427726449574,1.2028720976347136,1.2023252097794652
2011-02-18,1.1902188700149352,1.2060218463959989,1.204920534960403,1.2042053977115452
2011-02-22,1.0854037514467758,1.0953649358550717,1.094364673767272,1.1033958447377132
2011-02-23,1.0586188719111986,1.0696983372942828,1.0669832098626026,1.0784443946488922
2011-02-24,1.0736922250625598,1.0763157461531685,1.0741523612710309,1.0849815328963421
2011-02-25,1.1196945709893895,1.1287734614969274,1.1307509250217804,1.13659051906042
2011-02-28,1.1278464840901545,1.135817740011606,1.1378075441914237,1.143296861069987
2011-03-01,1.0736274878648848,1.0789241788560742,1.0810470533371916,1.0860286677738087
2011-03-02,1.0887680651170728,1.0955451358886132,1.0982069928255043,1.1033413798033311
2011-03-03,1.1537269080356434,1.163978681179849,1.1681655003059437,1.1739263582785437
2011-03-04,1.1366464686091824,1.1464863667066183,1.1509879914860761,1.1565944857138124
2011-03-07,1.0913567758668439,1.0949401867702417,1.0992394178993028,1.1049935433905782
2011-03-08,1.1027430619482141,1.1080116387740595,1.1127747147586051,1.1184898691992318
2011-03-09,1.0804871439152985,1.0748959186650116,1.0787535631933318,1.0845666718964
2011-03-10,1.031056213414838,1.036515086252173,1.03851349144946,1.0444424600328357
2011-03-11,1.048266049520926,1.0669837241555618,1.0712351883745914,1.0770713082819137
2011-03-14,1.0380451107134319,1.0485854580086433,1.052763613171082,1.0577387334749235
2011-03-15,0.9956002020297955,0.9876599085306124,0.9908779282335094,0.9929617068836037
2011-03-16,0.9224897568733542,0.9394867414998319,0.9399939663521439,0.939705934773782
2011-03-17,0.946559093598409,0.9618200237858818,0.9643903864322507,0.9652395241415047
2011-03-18,0.9413814389516965,0.9559868834799028,0.9581170212687947,0.958673744018376
2011-03-21,0.9939182783418176,0.99858994513397,1.0008150114131165,1.0068227982546532
2011-03-22,0.9912002486281435,1.001938259099072,1.0040666533729372,1.0105267234097348
2011-03-23,1.0062113514849813,1.012413192656844,1.0142493176868217,1.0219907457391613
2011-03-24,1.0609468464086291,1.0705805489971043,1.070369329379675,1.085293968429252
2011-03-25,1.0687108803334078,1.0824063250419067,1.081367296538061,1.0976959975507172
2011-03-28,1.0505965886372317,1.052785967764423,1.0517753725714265,1.0668540754529554
2011-03-29,1.080745704127382,1.0894204291011562,1.089062296421671,1.1057148822821647
2011-03-30,1.0966611848585843,1.1064762420943433,1.1060330021598885,1.1233954266776685
2011-03-31,1.1013196207565963,1.108794990055643,1.1083137243583827,1.1257766090211063
2011-04-01,1.1030014667288508,1.1119985710863014,1.1114640175183448,1.1290292541194016
2011-04-04,1.0930386995548222,1.1148516783886395,1.1143157532913233,1.1319204942067753
2011-04-05,1.0806164628792025,1.0902015718487497,1.0897195322493842,1.1069835484531778
2011-04-06,1.0887680651170732,1.0933690573152208,1.092927734993985,1.110236193551473
2011-04-07,1.088509660336437,1.0988264554009448,1.0984427210284382,1.115827908838611
2011-04-08,1.0722066112921425,1.0827392583463127,1.0822361897961443,1.0993965413288218
2011-04-11,1.0624998397113214,1.0687262394721153,1.0682296817314834,1.0849403408919536
2011-04-12,1.0415380439061208,1.048049131043896,1.0473800922441567,1.0634186655759077
2011-04-13,1.0663828281202545,1.0693026350096793,1.0690901797443815,1.0858257762530532
2011-04-14,1.0605593558112607,1.0583713126628909,1.0580733139620504,1.0744578930201014
2011-04-15,1.0537021866639988,1.070955399358708,1.0708429319296748,1.0876348020516604
2011-04-18,1.0333866748154206,1.0433235494008075,1.0432139837575314,1.0589218543806154
2011-04-19,1.0520200298288502,1.0720263370044105,1.072421952027504,1.0892798752980384
2011-04-20,1.1220253432528662,1.1332584774131436,1.1336195998312564,1.1528871572202581
2011-04-21,1.1504922241921447,1.1628531255494103,1.1621321402852773,1.1825223681158379
2011-04-25,1.1590313947431081,1.1657902414211412,1.165067435103931,1.1854136082032116
2011-04-26,1.17895926056287,1.176455199465688,1.1757078788215503,1.1958943535199411
2011-04-27,1.2034163987481876,1.2123445445799048,1.2112983284977255,1.2309506395793464
2011-04-28,1.201605078380583,1.2013987189906092,1.2006578847801062,1.2204698942626169
2011-04-29,1.195781761503036,1.1998980648188713,1.1991902373707795,1.2190242742189301
2011-05-02,1.1893120052374195,1.2010226178318224,1.2003141270028046,1.2201667524515627
2011-05-03,1.1714534759872806,1.183393616258401,1.1827065227677447,1.202267926806986
2011-05-04,1.1645967731343596,1.1752102010795449,1.174448511523244,1.1938733319794874
2011-05-05,1.1471282991004652,1.1678158415928868,1.1669559139764099,1.1862568104286038
2011-05-06,1.1570910662744938,1.159716236134172,1.1587140566748926,1.1778786367226317
2011-05-09,1.1696426219140168,1.1787720327253801,1.1777533860240903,1.1976815927549291
2011-05-10,1.199664905343416,1.212482986521109,1.2110722123851863,1.23233676581145
2011-05-11,1.1737840928193095,1.1887038763776527,1.1880053325967352,1.2083447229261663
2011-05-12,1.1944869398338094,1.2088177293098838,1.207776943843979,1.2289093311135522
2011-05-13,1.1521741478801224,1.1528968801670734,1.1534123854466625,1.17236848613475
2011-05-16,1.0922612314569327,1.1010894887165277,1.1015818288854518,1.118291183123476
2011-05-17,1.1011903795084168,1.104980680955513,1.1055968719993483,1.122480269976462
2011-05-18,1.1279754921911644,1.1392004376436304,1.1408277736628112,1.1592431045296145
2011-05-19,1.1376824192034323,1.1504056973250179,1.1521295547840735,1.1710253179317889
2011-05-20,1.1125791524929391,1.1130871189319018,1.114729349599773,1.1320086204905273
2011-05-23,1.0643107715003088,1.07318982087759,1.0747731877195166,1.089356099805579
