year,TQQQ,MNQ 3x + 55% BIL,MNQ 3x + 70% BIL,"MNQ 3x, no cash"
2011,-0.12021099197204421,-0.11115012759334031,-0.11122755160997577,-0.11086735842063111
2012,0.5228696699513864,0.5116280556186039,0.5115621287538348,0.5118683237749406
2013,1.397334865601155,1.3964509529953255,1.396123843817969,1.3976478701919581
2014,0.5709076025630846,0.5849600317169854,0.5848097199021753,0.5855094603785826
2015,0.17230802007067925,0.18212042120334382,0.1818933680800574,0.1829517487149157
2016,0.11380515065839125,0.11759878792494138,0.11779239916938766,0.11688731557426357
2017,1.1806180196758445,1.181513848196385,1.183746577611307,1.1733427579354272
2018,-0.19787952498811656,-0.2034036263995459,-0.20133307838258208,-0.21095052052653884
2019,1.3383377475118654,1.3502902044003728,1.357336691939599,1.3246305173279205
2020,1.100519277118999,1.2034133720124673,1.2047672820576145,1.1984546436396877
2021,0.8298132898458641,0.8432877730084736,0.8430058864462835,0.8443210423623653
2022,-0.790900201248948,-0.7864117537182622,-0.7859592259438308,-0.7880631408475804
2023,1.9804872581520132,1.971104720627364,1.992605275582234,1.8935729605283487
2024,0.5826770707006719,0.5457752939546061,0.5575496596295675,0.5033542952573915
2025,0.3435446238087312,0.3454734122949732,0.35372573349817027,0.31564023617759496
2026,0.5744881289400485,0.6010069162610328,0.6049799032392436,0.5865219985110504
