date,continuous_return,estimated_roll_effect_return,badj_close_delta,unadj_close,TQQQ_adjclose,BIL_adjclose,TQQQ,"MNQ 3x, no cash",MNQ 3x + 55% BIL,MNQ 3x + 70% BIL,BIL
2011-01-04,-0.0022217285047767,-3.816391647148976e-17,-5.0,2245.5,0.3828833103179931,73.9006576538086,-0.0015525270083510678,-0.0066651855143301,-0.0066651855143301,-0.0066651855143301,0.0
2011-01-05,0.0107993765308394,-5.724587470723462e-17,24.25,2269.75,0.3923859298229217,73.9006576538086,0.024818578529935076,0.0323981295925182,0.0323981295925182,0.0323981295925182,0.0
2011-01-06,0.0028637515144839,6.245004513516506e-17,6.5,2276.25,0.395933985710144,73.9006576538086,0.009042260737594399,0.0085912545434517,0.0085912545434517,0.0085912545434517,0.0
2011-01-07,-0.0014277869302581,-3.4694469519536136e-17,-3.25,2273.0,0.3950155675411224,73.88451385498047,-0.002319624488345773,-0.0042833607907743,-0.004403509780477001,-0.004436277686759556,-0.00021845270855036514
2011-01-10,0.0041794984601847,6.071532165918825e-17,9.5,2282.5,0.3994572162628174,73.9006576538086,0.011244237155875192,0.012538495380554099,0.012658670622864016,0.012691445688948538,0.00021850044056348494
2011-01-11,0.0013143483023001,4.0549161250957866e-17,3.0,2285.5,0.4012931585311889,73.9006576538086,0.004596092381426775,0.0039430449069003,0.0039430449069003,0.0039430449069003,0.0
2011-01-12,0.0083132793699409,4.163336342344337e-17,19.0,2304.5,0.409431517124176,73.88451385498047,0.020280332270739665,0.024939838109822702,0.02481968912012,0.024786921213837448,-0.00021845270855036514
2011-01-13,-0.0007593838142764,-1.0733601507606494e-17,-1.75,2302.75,0.4107214212417602,73.88451385498047,0.0031504758760252383,-0.0022781514428292,-0.0022781514428292,-0.0022781514428292,0.0
2011-01-14,0.0074910433177722,-5.637851296924623e-17,17.25,2320.0,0.4196286797523498,73.88451385498047,0.02168686133696096,0.0224731299533166,0.0224731299533166,0.0224731299533166,0.0
2011-01-18,0.0046336206896551,-5.637851296924623e-17,10.75,2330.75,0.4229775369167328,73.88451385498047,0.007980524987851956,0.0139008620689653,0.0139008620689653,0.0139008620689653,0.0
2011-01-19,-0.0155529336050627,3.4694469519536136e-17,-36.25,2294.5,0.4088112711906433,73.9006576538086,-0.03349176845029067,-0.0466588008151881,-0.04653862557287818,-0.04650585050679366,0.00021850044056348494
2011-01-20,-0.0056657223796034,1.1275702593849246e-17,-13.0,2281.5,0.3996305763721466,73.9006576538086,-0.022457049170289234,-0.0169971671388102,-0.0169971671388102,-0.0169971671388102,0.0
2011-01-21,-0.0054788516326977,-3.469446951953614e-18,-12.5,2269.0,0.390500545501709,73.88451385498047,-0.02284617697004121,-0.0164365548980931,-0.0165567038877958,-0.016589471794078353,-0.00021845270855036514
2011-01-24,0.0127809607756721,4.336808689942018e-17,29.0,2298.0,0.4066275060176849,73.88451385498047,0.04129817666517277,0.0383428823270163,0.0383428823270163,0.0383428823270163,0.0
2011-01-25,0.001414273281114,-2.5370330836160807e-17,3.25,2301.25,0.408041387796402,73.9006576538086,0.0034770933047889585,0.0042428198433420005,0.004362995085651918,0.00439577015173644,0.00021850044056348494
2011-01-26,0.0074959261271048,-2.168404344971009e-17,17.25,2318.5,0.4143685698509216,73.88451385498047,0.015506226191144723,0.0224877783813144,0.022367629391611698,0.022334861485329146,-0.00021845270855036514
2011-01-27,0.0019409100711667,-1.0842021724855044e-18,4.5,2323.0,0.4223573207855224,73.9006576538086,0.01927933611730004,0.0058227302135001,0.005942905455810017,0.0059756805218945394,0.00021850044056348494
2011-01-28,-0.0236762806715454,4.510281037539698e-17,-55.0,2268.0,0.390500545501709,73.88451385498047,-0.07542612313328556,-0.0710288420146362,-0.0711489910043389,-0.07118175891062146,-0.00021845270855036514
2011-01-31,0.0052910052910052,5.551115123125783e-17,12.0,2280.0,0.396281749010086,73.88451385498047,0.014804597778344863,0.015873015873015598,0.015873015873015598,0.015873015873015598,0.0
2011-02-01,0.0186403508771929,8.673617379884034e-17,42.5,2322.5,0.4182882010936737,73.88451385498047,0.05553233813709557,0.055921052631578705,0.055921052631578705,0.055921052631578705,0.0
2011-02-02,-0.0011840688912809,-2.883977778811442e-17,-2.75,2319.75,0.4164026379585266,73.88451385498047,-0.004507808564088167,-0.0035522066738427,-0.0035522066738427,-0.0035522066738427,0.0
2011-02-03,0.0008621618708912,1.6154612370034016e-17,2.0,2321.75,0.4180156886577606,73.88451385498047,0.0038737763697709315,0.0025864856126736,0.0025864856126736,0.0025864856126736,0.0
2011-02-04,0.0067836761063852,3.5561831257524545e-17,15.75,2337.5,0.4255586266517639,73.9006576538086,0.018044628942572638,0.020351028319155598,0.020471203561465513,0.02050397862755004,0.00021850044056348494
