date,open,high,low,close,volume,adjclose
2011-01-03,0.3953390121459961,0.4104430079460144,0.3952859938144684,0.4025000035762787,133516800,0.38347867131233215
2011-01-04,0.40755200386047363,0.4076560139656067,0.39419299364089966,0.40187498927116394,131520000,0.38288331031799316
2011-01-05,0.39789101481437683,0.41203099489212036,0.39737001061439514,0.4118489921092987,122880000,0.39238592982292175
2011-01-06,0.4133070111274719,0.41653600335121155,0.4107550084590912,0.41557300090789795,104524800,0.39593398571014404
2011-01-07,0.4176819920539856,0.41838499903678894,0.4025779962539673,0.41460898518562317,152409600,0.39501556754112244
2011-01-10,0.41145798563957214,0.42138001322746277,0.40872400999069214,0.41927099227905273,86054400,0.3994572162628174
2011-01-11,0.4243749976158142,0.4252859950065613,0.41690099239349365,0.4211980104446411,109939200,0.40129315853118896
2011-01-12,0.427031010389328,0.4300000071525574,0.4221090078353882,0.4297400116920471,134092800,0.409431517124176
2011-01-13,0.43127599358558655,0.43372398614883423,0.426952987909317,0.4310939908027649,131443200,0.41072142124176025
2011-01-14,0.43088498711586,0.4405730068683624,0.428072988986969,0.4404430091381073,61286400,0.41962867975234985
2011-01-18,0.42919299006462097,0.4453130066394806,0.42846399545669556,0.44395801424980164,138124800,0.4229775369167328
2011-01-19,0.44622400403022766,0.44622400403022766,0.42463499307632446,0.4290890097618103,149952000,0.4088112711906433
2011-01-20,0.4239580035209656,0.425025999546051,0.40989598631858826,0.4194529950618744,189465600,0.3996305763721466
2011-01-21,0.4255729913711548,0.4281249940395355,0.4095830023288727,0.4098699986934662,104832000,0.390500545501709
2011-01-24,0.4121609926223755,0.42716100811958313,0.40997400879859924,0.4267970025539398,86438400,0.40662750601768494
2011-01-25,0.42104199528694153,0.42885398864746094,0.4179689884185791,0.4282810091972351,95846400,0.408041387796402
2011-01-26,0.43104198575019836,0.43895798921585083,0.4270569980144501,0.4349220097064972,99379200,0.41436856985092163
2011-01-27,0.4400259852409363,0.4470050036907196,0.4376299977302551,0.4433070123195648,111360000,0.42235732078552246
2011-01-28,0.4434640109539032,0.4442969858646393,0.403984010219574,0.4098699986934662,254553600,0.390500545501709
2011-01-31,0.4114840030670166,0.419063001871109,0.4023439884185791,0.41593798995018005,159974400,0.39628174901008606
2011-02-01,0.42552098631858826,0.4419269859790802,0.42390599846839905,0.4390360116958618,203443200,0.4182882010936737
2011-02-02,0.43671900033950806,0.4415630102157593,0.43429699540138245,0.4370569884777069,92121600,0.4164026379585266
2011-02-03,0.4346350133419037,0.4411199986934662,0.424140989780426,0.4387499988079071,131558400,0.4180156886577606
2011-02-04,0.4398699998855591,0.44739601016044617,0.4358850121498108,0.44666698575019836,135936000,0.4255586266517639
2011-02-07,0.4494529962539673,0.4601300060749054,0.4472399950027466,0.45315098762512207,103795200,0.4317360818386078
2011-02-08,0.45330700278282166,0.46281298995018005,0.4510419964790344,0.46281298995018005,133977600,0.4409414529800415
2011-02-09,0.45974001288414,0.4638020098209381,0.4554949998855591,0.46000000834465027,130406400,0.4382614493370056
2011-02-10,0.45234400033950806,0.46317699551582336,0.4492189884185791,0.4622400104999542,142080000,0.44039562344551086
2011-02-11,0.4579690098762512,0.4720050096511841,0.45572900772094727,0.47171899676322937,94540800,0.4494266211986542
2011-02-14,0.4716149866580963,0.4768750071525574,0.4703649878501892,0.47468799352645874,59635200,0.45225536823272705
2011-02-15,0.4720570147037506,0.4745050072669983,0.46671900153160095,0.4734640121459961,93235200,0.45108920335769653
2011-02-16,0.47718799114227295,0.48601600527763367,0.4764840006828308,0.4822140038013458,141120000,0.4594256281852722
2011-02-17,0.4751040041446686,0.484375,0.4742189943790436,0.4817970097064972,86745600,0.4590283930301666
2011-02-18,0.4820829927921295,0.4840100109577179,0.47335898876190186,0.4790630042552948,128179200,0.4564235508441925
2011-02-22,0.45994800329208374,0.46354201436042786,0.43489599227905273,0.43687498569488525,241843200,0.4162291884422302
2011-02-23,0.4367449879646301,0.44143199920654297,0.41630199551582336,0.4260939955711365,194265600,0.40595775842666626
2011-02-24,0.4290890097618103,0.4364579916000366,0.41666701436042786,0.43216100335121155,320524800,0.4117380678653717
2011-02-25,0.44020798802375793,0.4525519907474518,0.43895798921585083,0.4506770074367523,108345600,0.4293789863586426
2011-02-28,0.45583298802375793,0.46031299233436584,0.44578099250793457,0.45395800471305847,104313600,0.4325050711631775
2011-03-01,0.4600520133972168,0.4600520133972168,0.4283849895000458,0.4321349859237671,122899200,0.41171324253082275
2011-03-02,0.431302011013031,0.44713500142097473,0.4309380054473877,0.4382289946079254,114105600,0.41751933097839355
2011-03-03,0.4509899914264679,0.4667710065841675,0.45093798637390137,0.46437498927116394,132825600,0.44242966175079346
2011-03-04,0.46458300948143005,0.46458300948143005,0.44843798875808716,0.45750001072883606,109420800,0.4358796775341034
2011-03-07,0.4632290005683899,0.46401000022888184,0.4269790053367615,0.4392710030078888,137568000,0.4185120463371277
2011-03-08,0.4367710053920746,0.45020800828933716,0.4296880066394806,0.4438540041446686,128774400,0.4228784441947937
2011-03-09,0.44020798802375793,0.44078099727630615,0.42817699909210205,0.43489599227905273,97056000,0.41434377431869507
2011-03-10,0.41947901248931885,0.42317700386047363,0.40974000096321106,0.41499999165534973,174892800,0.39538806676864624
2011-03-11,0.4080730080604553,0.4254690110683441,0.4074479937553406,0.42192700505256653,102547200,0.4019876718521118
2011-03-14,0.41505199670791626,0.42447900772094727,0.4083850085735321,0.4178130030632019,78912000,0.3980681598186493
2011-03-15,0.38062500953674316,0.40760400891304016,0.3768230080604553,0.4007290005683899,187852800,0.38179144263267517
2011-03-16,0.39072901010513306,0.396822988986969,0.3632810115814209,0.3713020086288452,216768000,0.3537551462650299
2011-03-17,0.388280987739563,0.39322900772094727,0.38062500953674316,0.38098999857902527,116486400,0.362985223531723
2011-03-18,0.3943229913711548,0.39447900652885437,0.37812501192092896,0.3789060115814209,118713600,0.3609997034072876
2011-03-21,0.39552098512649536,0.40625,0.3938539922237396,0.400052011013031,95251200,0.38114646077156067
2011-03-22,0.40192699432373047,0.40312498807907104,0.39583298563957214,0.3989579975605011,64358400,0.3801041543483734
2011-03-23,0.39406299591064453,0.4085420072078705,0.3860419988632202,0.4050000011920929,104544000,0.3858605921268463
2011-03-24,0.41447898745536804,0.42958301305770874,0.40739598870277405,0.427031010389328,130656000,0.4068504869937897
2011-03-25,0.431302011013031,0.4385420083999634,0.4283849895000458,0.43015599250793457,148300800,0.4098278284072876
2011-03-28,0.43599000573158264,0.43604201078414917,0.42234399914741516,0.42286500334739685,88838400,0.402881383895874
2011-03-29,0.4203130006790161,0.43510401248931885,0.41593798995018005,0.4350000023841858,67296000,0.41444292664527893
2011-03-30,0.44166699051856995,0.44307300448417664,0.4357289969921112,0.4414060115814209,67545600,0.42054617404937744
2011-03-31,0.4395830035209656,0.44437500834465027,0.4369789958000183,0.44328099489212036,56428800,0.4223325848579407
2011-04-01,0.44963499903678894,0.45395800471305847,0.44010400772094727,0.44395801424980164,75552000,0.4229775369167328
2011-04-04,0.4477599859237671,0.448853999376297,0.4338020086288452,0.4399479925632477,62419200,0.4191570281982422
2011-04-05,0.43666699528694153,0.4437499940395355,0.43333300948143005,0.43494799733161926,53932800,0.4143933653831482
2011-04-06,0.4453650116920471,0.44968798756599426,0.43135398626327515,0.4382289946079254,66393600,0.41751933097839355
2011-04-07,0.4385420083999634,0.44650998711586,0.4291149973869324,0.43812501430511475,71942400,0.41742023825645447
2011-04-08,0.44416698813438416,0.44572898745536804,0.4250519871711731,0.43156298995018005,50457600,0.4111683666706085
