date,continuous_return,estimated_roll_effect_return,badj_close_delta,unadj_close,TQQQ_adjclose,BIL_adjclose,TQQQ,"MNQ 3x, no cash",MNQ 3x + 55% BIL,MNQ 3x + 70% BIL,BIL
2011-01-04,-0.002221728504776716,-3.8163916471489756e-17,-5.0,2245.5,0.3828833103179931,73.9006576538086,-0.0015525270083510678,-0.0066651855143301485,-0.0066651855143301485,-0.0066651855143301485,0.0
2011-01-05,0.010799376530839457,-5.724587470723463e-17,24.25,2269.75,0.3923859298229217,73.9006576538086,0.024818578529935076,0.03239812959251837,0.03239812959251837,0.03239812959251837,0.0
2011-01-06,0.002863751514483974,6.245004513516506e-17,6.5,2276.25,0.395933985710144,73.9006576538086,0.009042260737594399,0.008591254543451922,0.008591254543451922,0.008591254543451922,0.0
2011-01-07,-0.0014277869302581,-3.469446951953614e-17,-3.25,2273.0,0.3950155675411224,73.88451385498047,-0.002319624488345773,-0.0042833607907743,-0.004403509780477001,-0.004436277686759556,-0.00021845270855036514
2011-01-10,0.004179498460184778,6.071532165918825e-17,9.5,2282.5,0.3994572162628174,73.9006576538086,0.011244237155875192,0.012538495380554333,0.01265867062286425,0.012691445688948772,0.00021850044056348494
2011-01-11,0.0013143483023001095,4.0549161250957866e-17,3.0,2285.5,0.4012931585311889,73.9006576538086,0.004596092381426775,0.003943044906900329,0.003943044906900329,0.003943044906900329,0.0
2011-01-12,0.008313279369940932,4.163336342344337e-17,19.0,2304.5,0.409431517124176,73.88451385498047,0.020280332270739665,0.024939838109822796,0.024819689120120093,0.02478692121383754,-0.00021845270855036514
2011-01-13,-0.0007593838142764157,-1.0733601507606494e-17,-1.75,2302.75,0.4107214212417602,73.88451385498047,0.0031504758760252383,-0.002278151442829247,-0.002278151442829247,-0.002278151442829247,0.0
2011-01-14,0.007491043317772229,-5.637851296924623e-17,17.25,2320.0,0.4196286797523498,73.88451385498047,0.02168686133696096,0.022473129953316687,0.022473129953316687,0.022473129953316687,0.0
2011-01-18,0.004633620689655172,-5.637851296924623e-17,10.75,2330.75,0.4229775369167328,73.88451385498047,0.007980524987851956,0.013900862068965517,0.013900862068965517,0.013900862068965517,0.0
2011-01-19,-0.015552933605062748,3.469446951953614e-17,-36.25,2294.5,0.4088112711906433,73.9006576538086,-0.03349176845029067,-0.046658800815188244,-0.04653862557287833,-0.0465058505067938,0.00021850044056348494
2011-01-20,-0.0056657223796034,1.1275702593849246e-17,-13.0,2281.5,0.3996305763721466,73.9006576538086,-0.022457049170289234,-0.0169971671388102,-0.0169971671388102,-0.0169971671388102,0.0
2011-01-21,-0.005478851632697786,-3.469446951953614e-18,-12.5,2269.0,0.390500545501709,73.88451385498047,-0.02284617697004121,-0.01643655489809336,-0.01655670388779606,-0.016589471794078613,-0.00021845270855036514
2011-01-24,0.012780960775672102,4.336808689942018e-17,29.0,2298.0,0.4066275060176849,73.88451385498047,0.04129817666517277,0.038342882327016305,0.038342882327016305,0.038342882327016305,0.0
2011-01-25,0.0014142732811140122,-2.5370330836160804e-17,3.25,2301.25,0.408041387796402,73.9006576538086,0.0034770933047889585,0.004242819843342037,0.004362995085651954,0.004395770151736476,0.00021850044056348494
2011-01-26,0.0074959261271048344,-2.168404344971009e-17,17.25,2318.5,0.4143685698509216,73.88451385498047,0.015506226191144723,0.022487778381314504,0.022367629391611802,0.02233486148532925,-0.00021845270855036514
2011-01-27,0.0019409100711667026,-1.0842021724855044e-18,4.5,2323.0,0.4223573207855224,73.9006576538086,0.01927933611730004,0.005822730213500108,0.005942905455810025,0.005975680521894547,0.00021850044056348494
2011-01-28,-0.023676280671545414,4.5102810375396984e-17,-55.0,2268.0,0.390500545501709,73.88451385498047,-0.07542612313328556,-0.07102884201463625,-0.07114899100433894,-0.0711817589106215,-0.00021845270855036514
