year,TQQQ,MNQ 3x + 55% BIL,MNQ 3x + 70% BIL,"MNQ 3x, no cash"
2011,-0.12021099197204421,-0.11115012759333631,-0.11122755160997044,-0.1108673584206269
2012,0.5228696699513864,0.5116280556186046,0.5115621287538339,0.5118683237749386
2013,1.397334865601155,1.3964509529953282,1.396123843817977,1.3976478701919648
2014,0.5709076025630846,0.5849600317169961,0.5848097199021867,0.5855094603785944
2015,0.17230802007067925,0.18212042120334293,0.18189336808005785,0.18295174871491504
2016,0.11380515065839125,0.1175987879249416,0.11779239916938322,0.11688731557426069
2017,1.1806180196758445,1.1815138481964,1.183746577611327,1.1733427579354396
2018,-0.19787952498811656,-0.2034036263995419,-0.20133307838257752,-0.2109505205265363
2019,1.3383377475118654,1.3502902044003786,1.3573366919396053,1.324630517327929
2020,1.100519277118999,1.2034133720124882,1.2047672820576336,1.1984546436397019
2021,0.8298132898458641,0.8432877730084833,0.8430058864462897,0.8443210423623688
2022,-0.790900201248948,-0.7864117537182638,-0.7859592259438324,-0.7880631408475816
2023,1.9804872581520132,1.971104720627384,1.9926052755822483,1.8935729605283527
2024,0.5826770707006719,0.5457752939546126,0.5575496596295753,0.503354295257399
2025,0.3435446238087312,0.34547341229498363,0.35372573349817604,0.31564023617760273
2026,0.5744881289400485,0.6010069162610359,0.6049799032392462,0.5865219985110532
