rule,final_multiple,cagr,ann_vol,max_drawdown,worst_calendar_year,worst_year,pre_lev_min,pre_lev_mean,pre_lev_max,rebalance_count,rebalances_per_year
Daily,245.6558066256692,0.4278723890788958,0.6205642077715114,-0.8122954036275553,-0.7859836719354935,2022,2.475164412126397,2.998824756798326,3.9638409917420283,3887,251.54619950389795
Weekly,321.0830028499528,0.4528309768713321,0.6328601851890969,-0.8010783100948315,-0.7728169523055346,2022,2.4530564234989853,2.9926773720541675,4.663476033601816,815,52.742514174344436
Monthly,429.1313044982294,0.48036017669637676,0.6697892346678538,-0.8104388288948848,-0.783496578955283,2022,2.3463523958455563,2.9851794379217558,5.14659243929032,187,12.101656626506024
