rule,final_multiple,cagr,ann_vol,max_drawdown,worst_calendar_year,worst_year,pre_lev_min,pre_lev_mean,pre_lev_max,rebalance_count,rebalances_per_year
Daily,211.42100746753536,0.414071470489189,0.6205651016562617,-0.8140623513440537,-0.7880631408475818,2022,2.475164412126397,2.998940719194252,3.9641452911439807,3887,251.54619950389795
Weekly,276.3029891963464,0.4387774963681268,0.6329133214180073,-0.8029864172634946,-0.7750561168155887,2022,2.4527829893683553,2.9929578560288976,4.665786495662015,815,52.742514174344436
Monthly,369.7670868415022,0.466164880608245,0.6702010718701971,-0.8124121617435762,-0.7857452063226533,2022,2.349787639767704,2.9864300830496275,5.162222222222223,187,12.101656626506024
