date,Daily,Weekly,Monthly
2011-01-04,1.0,1.0,1.0
2011-01-05,1.0323981295925184,1.0323981295925184,1.0323981295925184
2011-01-06,1.0412677247140314,1.0410821643286574,1.0410821643286574
2011-01-07,1.0368075993692925,1.036740146960588,1.036740146960588
2011-01-10,1.049807606664508,1.0497393085040885,1.049432197728791
2011-01-11,1.0539470452011916,1.0538443068862466,1.0534402137608552
2011-01-12,1.0802323138848355,1.0798426299732478,1.0788243152972614
2011-01-13,1.077771381080368,1.0774480475836556,1.076486305945224
2011-01-14,1.1019922773873527,1.1010517882810646,1.0995323981295928
2011-01-18,1.1173109200363796,1.1163573573207475,1.1138944555778225
2011-01-19,1.0651785323697673,1.0647455547450726,1.0654642618570476
2011-01-20,1.047073514822406,1.0462364945110374,1.0480961923847696
2011-01-21,1.029863233513688,1.0284393212090805,1.0313961255845023
2011-01-24,1.0693511582892237,1.0678726490826769,1.0701402805611222
2011-01-25,1.073888222603114,1.072291901344373,1.0744822979291917
2011-01-26,1.0980375829593165,1.0957479325795294,1.0975283901135604
2011-01-27,1.1044311595691723,1.1018668972495702,1.1035404141616565
2011-01-28,1.025984693220092,1.0270795512824047,1.0300601202404809
2011-01-31,1.042270164541046,1.0433824013027604,1.0460921843687374
2011-02-01,1.1005550092686702,1.1011216617915198,1.104590760468305
2011-02-02,1.0966456104198148,1.0973855919951883,1.1008055584853917
2011-02-03,1.0994820685133675,1.1001027336652476,1.1035584326547832
2011-02-04,1.121857659226087,1.1215002243169643,1.1252373167387406
2011-02-07,1.1326562891009904,1.1322954136419403,1.1355605948739584
2011-02-08,1.1583765225315352,1.1578440283777172,1.1599923531273073
2011-02-09,1.157641123194408,1.1571243490893854,1.1593041345849595
2011-02-10,1.1569060351703666,1.1564046698010537,1.1586159160426117
2011-02-11,1.1811536688068367,1.1801540863160012,1.181327127940091
2011-02-14,1.186368475291635,1.1853644796330696,1.186144657736526
2011-02-15,1.1859948943715264,1.1849923086818503,1.185800548465352
2011-02-16,1.2016819987900453,1.2006234886330556,1.2002531378546568
2011-02-17,1.20394268816904,1.2028565143403707,1.2023177934817004
2011-02-18,1.206206211083918,1.2050895400476858,1.204382449108744
2011-02-22,1.0955323844093081,1.0945181720203458,1.1035584326547836
2011-02-23,1.0696982515154092,1.0669696741841828,1.078438455859087
2011-02-24,1.0763156598436465,1.074139831155239,1.0849765320113915
2011-02-25,1.1287733709808327,1.130746333558314,1.1365929226874805
2011-02-28,1.1359913612034533,1.1379769399756112,1.143475108110959
2011-03-01,1.0790891032935495,1.0812166795998288,1.0861979863497913
2011-03-02,1.095545037055651,1.098208604680477,1.1033446406349816
2011-03-03,1.1641565953862643,1.168345486928259,1.174120192365342
2011-03-04,1.146486251786009,1.150992031526746,1.1566087156485518
2011-03-07,1.095107537461877,1.0994113948771205,1.1051687527929808
2011-03-08,1.108180987306819,1.1129467392461712,1.1186671827621733
2011-03-09,1.0750602057900966,1.0789254682645033,1.0847386966233923
2011-03-10,1.0366735072496582,1.038685255275434,1.0446082291474148
2011-03-11,1.0669836065089289,1.071243245784772,1.0770774255597966
2011-03-14,1.0485853423906206,1.0527715316453317,1.0577418366850073
2011-03-15,0.987509363678078,0.9907344539694757,0.9928034438602437
2011-03-16,0.9393435394808621,0.9398501093589421,0.9395393688466736
2011-03-17,0.9616734175984738,0.964246712939335,0.9650769390586592
2011-03-18,0.9558411664135774,0.9579733005900911,0.9585101352898628
2011-03-21,0.998437734261853,1.0006648858966043,1.0066666962610358
2011-03-22,1.0020913653586196,1.0042225180054805,1.0106797430086336
2011-03-23,1.0124130507034366,1.014248572130495,1.0219892383882272
2011-03-24,1.0707441337572108,1.0705238436708988,1.0854683414865915
2011-03-25,1.0825717167811695,1.081520161098334,1.0978723041609846
2011-03-28,1.0527858095973976,1.051763186445758,1.066862397475002
2011-03-29,1.0895868816741443,1.0892219663025302,1.10589839765618
2011-03-30,1.1064760647700622,1.1060259049298673,1.1234098743729701
2011-03-31,1.1089643917523038,1.1084764793130206,1.1259636313941688
2011-04-01,1.1121684622260664,1.1116272178056463,1.12921681684603
2011-04-04,1.1150220054261333,1.114479372309317,1.1321085372476842
2011-04-05,1.090368132843009,1.0898795397151573,1.1071674487834153
2011-04-06,1.0935361022379042,1.0930882135317868,1.1104206342352765
2011-04-07,1.0988262682882919,1.0984360032261693,1.1158426099883785
2011-04-08,1.082904668393592,1.0823926341430217,1.0995766827290727
2011-04-11,1.0688895087508794,1.0683841013456572,1.085118080720801
2011-04-12,1.048048942072461,1.0473713021496107,1.0634301777083932
2011-04-13,1.0693024422060717,1.0690845279855254,1.0858410108212146
2011-04-14,1.0585329894093245,1.058227915067568,1.074635594264804
2011-04-15,1.0709551955221364,1.070835594585196,1.0876483360722486
2011-04-18,1.043482916992128,1.0433663840735938,1.0590925971059117
2011-04-19,1.0721900889443132,1.0725741522125125,1.0894556613232826
2011-04-20,1.1334315825577488,1.1337713806940564,1.1530735101596787
2011-04-21,1.163030751274225,1.1622837257820484,1.182713644276636
2011-04-25,1.1659683157901777,1.1652194034729313,1.1856053646782903
2011-04-26,1.1766349029062393,1.1758612351023818,1.1960878511342874
2011-04-27,1.2125297301151412,1.2114563271043368,1.2311499610043466
2011-04-28,1.201582232551835,1.2008144954748863,1.2206674745483495
2011-04-29,1.2000813491552886,1.1993466566294448,1.2192216143475223
2011-05-02,1.2012060739436254,1.2004706928587132,1.220364277528729
2011-05-03,1.1835743795415796,1.1828607919335075,1.202462554356491
2011-05-04,1.1750309511297825,1.1742431808424494,1.1937021366339067
