date,TQQQ,"MNQ 3x, no cash",MNQ 3x + 55% BIL,MNQ 3x + 70% BIL,BIL
2011-01-03,1.0,1.0,1.0,1.0,1.0
2011-01-04,0.9984474729916489,0.9933348144856698,0.9933348144856698,0.9933348144856698,1.0
2011-01-05,1.0232275200081073,1.0255170045341369,1.0255170045341369,1.0255170045341369,1.0
2011-01-06,1.0324798100379027,1.0343274821587278,1.0343274821587278,1.0343274821587278,1.0
2011-01-07,1.0300848445868163,1.029897084376829,1.0297728109748256,1.0297389182288248,0.9997815472914496
2011-01-10,1.0416673628700233,1.042810444211734,1.0428083658053369,1.042807793783323,1.0
2011-01-11,1.046454962300491,1.0469222926226456,1.0469202060209986,1.0469196317434761,1.0
2011-01-12,1.0676774166423093,1.0730323651142188,1.0729044400680117,1.0728695461727216,0.9997815472914496
2011-01-13,1.071041108586818,1.0705878348834315,1.0704602012698528,1.0704253868681406,0.9997815472914496
2011-01-14,1.0942686285949252,1.0946472944232069,1.0945167924828438,1.0944811956925578,0.9997815472914496
2011-01-18,1.1030014667288495,1.1098638354771502,1.1097315194473145,1.1096954278309565,0.9997815472914496
2011-01-19,1.066059997004836,1.058078919845641,1.0580861397773347,1.0580880981561775,1.0
2011-01-20,1.0421194352336198,1.040094575598973,1.040101672812281,1.0401035979042312,1.0
2011-01-21,1.018310990192353,1.0229990040079313,1.0228810174023266,1.0228488286038793,0.9997815472914496
2011-01-24,1.0603653773654038,1.0622237344392622,1.0621012238871226,1.062067800877364,0.9997815472914496
2011-01-25,1.064052366719671,1.06673055837781,1.066735166307407,1.0667364068155814,1.0
2011-01-26,1.0805518033972492,1.090718958767186,1.0905955031663703,1.090561816703165,0.9997815472914496
2011-01-27,1.1013841248070995,1.097069921002837,1.0970768091322196,1.09707866570916,1.0
2011-01-28,1.0183109901923533,1.019146314904917,1.0190209011082025,1.0189866766206643,0.9997815472914496
2011-01-31,1.0333866748154192,1.0353232405383281,1.035195836046428,1.0351610683130559,0.9997815472914496
2011-02-01,1.0907730530676378,1.093219605963169,1.0930850768779716,1.0930483648963518,0.9997815472914496
2011-02-02,1.0858560569575428,1.0893362639828907,1.0892022127728076,1.089165631199734,0.9997815472914496
2011-02-03,1.0900624204919576,1.0921538165570464,1.092019418625437,1.0919827424346509,0.9997815472914496
2011-02-04,1.1097321923939776,1.114380269806673,1.114374370437192,1.1143727332471847,1.0
2011-02-07,1.1258411852766939,1.1251069248101595,1.1249670777005454,1.12492890928691,0.9997815472914496
2011-02-08,1.1498460956669674,1.150655728113418,1.1505127053711441,1.1504736702334037,0.9997815472914496
2011-02-09,1.1428574315155442,1.1499252303493,1.1499205615486567,1.1499192533520217,1.0
2011-02-10,1.1484227321910725,1.1491950418233081,1.1490522141935882,1.1490132265384942,0.9997815472914496
2011-02-11,1.17197292788315,1.1732810604833077,1.1731352393243526,1.173095434525646,0.9997815472914496
2011-02-14,1.1793494712105594,1.1784611093154636,1.1783146443544823,1.17827466381715,0.9997815472914496
2011-02-15,1.176308454950021,1.178090018381492,1.1780852037894256,1.1780838490670467,1.0
2011-02-16,1.1980474079902175,1.193672565338879,1.1936676870644065,1.1936663144231718,1.0
2011-02-17,1.1970115351116914,1.1959181868037725,1.1959132993519441,1.1959119241283993,1.0
2011-02-18,1.1902188700149343,1.198166622918507,1.1980180385031307,1.197977473329419,0.9997815472914496
2011-02-22,1.0854037514467751,1.0882304578302642,1.0880955065778435,1.0880586634070226,0.9997815472914496
2011-02-23,1.058618871911198,1.062568514224705,1.062567507446197,1.0625671898540525,1.0
2011-02-24,1.0736922250625591,1.0691418162988104,1.0691408032921308,1.0691404837352856,1.0
2011-02-25,1.1196945709893888,1.1212498870596104,1.1212488246807866,1.1212484895493091,1.0
2011-02-28,1.1278464840901539,1.1284197680383568,1.1282839819526147,1.1282469037529652,0.9997815472914496
2011-03-01,1.0736274878648842,1.0718967742336065,1.0717677897267632,1.0717325687888424,0.9997815472914496
2011-03-02,1.0887680651170721,1.088243026144372,1.0882408745985552,1.0882402384201275,1.0
2011-03-03,1.1537269080356427,1.1563972757102847,1.1562642383762842,1.1562279030777018,0.9997815472914496
2011-03-04,1.1366464686091817,1.1388447082282271,1.1388526445584453,1.1388547518605363,1.0
2011-03-07,1.0913567758668432,1.0878084425665533,1.0876791912428552,1.0876438859691957,0.9997815472914496
2011-03-08,1.1027430619482135,1.1007947554429662,1.100663961110349,1.1006282343605251,0.9997815472914496
2011-03-09,1.0804871439152979,1.0678947300794326,1.0677678448650585,1.0677331858991876,0.9997815472914496
2011-03-10,1.0310562134148373,1.0297638860060487,1.0296415314258172,1.0296081100122874,0.9997815472914496
2011-03-11,1.0482660495209253,1.0598719628307984,1.0598697682868536,1.059869111160638,1.0
2011-03-14,1.0380451107134312,1.0415963265559804,1.0415941698531035,1.0415935240578789,1.0
2011-03-15,0.9956002020297947,0.980927430572026,0.9810500728321921,0.9810834663745973,1.0002176268003895
2011-03-16,0.9224897568733534,0.9330826405285352,0.9331993009056331,0.9332310656761481,1.0002176268003895
2011-03-17,0.9465590935984082,0.9552636858659805,0.9553831194691584,0.9554156393451532,1.0002176268003895
2011-03-18,0.9413814389516957,0.9494703077171976,0.9495890169925935,0.9496213396456206,1.0002176268003895
2011-03-21,0.9939182783418168,0.9917829615384907,0.9919069610314261,0.9919407241267892,1.0002176268003895
2011-03-22,0.9912002486281426,0.9954122405061964,0.9952988428538913,0.9952678507680718,0.9997815472914497
2011-03-23,1.0062113514849802,1.0056651299033694,1.0056701745185292,1.005671479454863,1.0000000000000002
2011-03-24,1.060946846408628,1.0636074254673384,1.0634919304770682,1.0634603566928988,0.9997815472914499
2011-03-25,1.0687108803334067,1.0753561754562564,1.0752394046928642,1.0752074821404487,0.9997815472914499
2011-03-28,1.0505965886372306,1.045768796869577,1.0457844560960934,1.0457886480216205,1.0000000000000002
2011-03-29,1.080745704127381,1.082324582973806,1.0822151396367812,1.0821852092867588,0.9997815472914499
2011-03-30,1.0966611848585832,1.099101196531204,1.0991201122301888,1.0991251830384952,1.0000000000000002
2011-03-31,1.1013196207565952,1.1015729383524888,1.1014598384194803,1.1014289039911604,0.9997815472914499
2011-04-01,1.1030014667288497,1.104755653102143,1.1046422263956521,1.104611202590172,0.9997815472914499
2011-04-04,1.0930386995548211,1.1075901769074084,1.1074764591766546,1.10744535577193,0.9997815472914499
2011-04-05,1.0806164628792012,1.0831006269586971,1.0829894236020372,1.082959007914123,0.9997815472914499
2011-04-06,1.088768065117072,1.0862474812498715,1.0861359548015697,1.08610545074353,0.9997815472914499
2011-04-07,1.0885096603364357,1.0915023873621317,1.0915208480373026,1.0915257899228075,1.0000000000000002
2011-04-08,1.0722066112921411,1.075686907884415,1.0755739559438695,1.075543058614668,0.9997815472914499
2011-04-11,1.0624998397113201,1.061765161880734,1.0616536717858385,1.0616231743357896,0.9997815472914499
2011-04-12,1.0415380439061195,1.041063501445451,1.0410817696048265,1.0410866578804279,1.0000000000000002
2011-04-13,1.0663828281202532,1.0621753430578424,1.0621939816792374,1.0621989690847191,1.0000000000000002
2011-04-14,1.0605593558112592,1.0514776706618731,1.051368500031092,1.0513386305705401,0.9997815472914499
2011-04-15,1.0537021866639973,1.0638170804664457,1.063832977149405,1.0638372112651866,1.0000000000000002
2011-04-18,1.033386674815419,1.0365279097693414,1.0364155802111559,1.0363848454860989,0.9997815472914499
2011-04-19,1.0520200298288487,1.0650437430948734,1.0649283232475326,1.0648967429820047,0.9997815472914499
2011-04-20,1.1220253432528644,1.1258770507922007,1.1257550383789365,1.1257216543076751,0.9997815472914499
2011-04-21,1.150492224192143,1.1552789355581117,1.1551537368334184,1.155119480948831,0.9997815472914499
2011-04-25,1.1590313947431063,1.1581969206616052,1.1580714057119705,1.1580370633044164,0.9997815472914499
2011-04-26,1.1789592605628683,1.1687924129957334,1.16866574980208,1.1686310932210815,0.9997815472914499
2011-04-27,1.2034163987481858,1.2044479945222832,1.2043174672978767,1.2042817534713524,0.9997815472914499
2011-04-28,1.2016050783805812,1.1935734640611542,1.1934441153204052,1.193408723941256,0.9997815472914499
2011-04-29,1.1957817615030342,1.192082584330881,1.1919533971582479,1.1919180499860884,0.9997815472914499
2011-05-02,1.1893120052374178,1.193199812619851,1.1930705043720795,1.1930351240722985,0.9997815472914499
2011-05-03,1.1714534759872788,1.175685636731927,1.1755582265127766,1.1755233655365716,0.9997815472914499
2011-05-04,1.1645967731343578,1.167199151855423,1.1673546732010995,1.1673969655488585,1.0002176268003895
2011-05-05,1.1471282991004634,1.1598551974603595,1.1600097402740792,1.1600517665206567,1.0002176268003895
2011-05-06,1.157091066274492,1.1518108045397644,1.1519642754928592,1.1520060102585337,1.0002176268003895
2011-05-09,1.169642621914015,1.1707367035821283,1.170892696282504,1.1709351168100748,1.0002176268003895
2011-05-10,1.1996649053434143,1.2042178600956335,1.2043783139323176,1.2044219476176539,1.0002176268003895
2011-05-11,1.1737840928193077,1.180600844887781,1.1807581519178725,1.1808009298631932,1.0002176268003895
2011-05-12,1.1944869398338076,1.2005775878240479,1.2007375566192193,1.2007810584027625,1.0002176268003895
2011-05-13,1.1521741478801206,1.145212356312428,1.1452212573682325,1.1452235580474215,1.0
2011-05-16,1.0922612314569309,1.093750282073072,1.0937587831447233,1.0937609804389614,1.0
2011-05-17,1.1011903795084148,1.0976155379424672,1.0976240690564578,1.097626274115818,1.0
2011-05-18,1.1279754921911624,1.1317802744427623,1.1316571926759977,1.1316234991909302,0.9997815472914496
2011-05-19,1.1376824192034303,1.1425636986117067,1.142710924328918,1.1427509395814386,1.0002176268003893
2011-05-20,1.1125791524929372,1.1056679101170694,1.105673634878285,1.1056750572974283,0.9999999999999999
2011-05-23,1.0643107715003068,1.0660365448728475,1.0660420644367334,1.0660434358709363,0.9999999999999999
2011-05-24,1.044256151335517,1.0470453950235687,1.0470508162579317,1.047052163260409,0.9999999999999999
2011-05-25,1.0559009976289704,1.057621611134918,1.057627087129224,1.057628447737787,0.9999999999999999
2011-05-26,1.075699855347723,1.0792594639715167,1.0792650519990468,1.079266440444265,0.9999999999999999
2011-05-27,1.0917444218956585,1.0893546766761208,1.0893603169731267,1.0893617184056295,0.9999999999999999
2011-05-31,1.144281028138609,1.144347822733404,1.144353747765661,1.1443552199457208,0.9999999999999999
2011-06-01,1.0711705829821676,1.0687173721321768,1.068585412629791,1.0685492892113413,0.9997815472914495
2011-06-02,1.077381468172807,1.077702062262195,1.077568993378349,1.077532566270889,0.9997815472914495
2011-06-03,1.0284671918021717,1.0241876219392012,1.0240611607320895,1.0240265424513328,0.9997815472914495
2011-06-06,1.003622640735209,1.0060544640425728,1.0059302418207674,1.005896236453834,0.9997815472914495
2011-06-07,0.9978014998979198,1.0057226518842475,1.0057193585433895,1.0057183286209672,1.0
2011-06-08,0.9763207962069126,0.9715535150582736,0.9715503336077207,0.9715493386766155,1.0
2011-06-09,0.9805914306446616,0.9773880223773513,0.977268091030084,0.9772352546059425,0.9997815472914496
2011-06-10,0.9355604535458532,0.936708720669082,0.9367112243447107,0.9367117795903155,1.0
2011-06-13,0.9362065820710287,0.9392389411863648,0.9391289067176283,0.9390987693125328,0.9997815472914496
2011-06-14,0.9710139003120205,0.9737752207059803,0.9737740002594353,0.9737735300895315,1.0
2011-06-15,0.9179604845077975,0.9191710027224674,0.9191698507121773,0.9191694069069409,1.0
2011-06-16,0.9051503686561913,0.9072905611906805,0.9072894240703192,0.907288986001341,1.0
2011-06-17,0.8984224407571092,0.9007818723549924,0.9007807433920648,0.9007803084656902,1.0
2011-06-20,0.9103255363997518,0.9128114898718893,0.9128103458320683,0.9128099050974087,1.0
2011-06-21,0.9710139003120205,0.9675801792642027,0.9674692933411506,0.9674389153459411,0.9997815472914496
2011-06-22,0.9491456283079208,0.9488236116180383,0.9488311410783241,0.9488330561850643,1.0
2011-06-23,0.9754140091451194,0.9590374562822379,0.9590450667952471,0.9590470025176239,1.0
2011-06-24,0.9240425170288745,0.9207831130539967,0.9206751917009675,0.9206456240158567,0.9997815472914496
2011-06-27,0.9689441751637796,0.9723953473379655,0.9722813767187434,0.9722501516897157,0.9997815472914496
2011-06-28,1.0124225475385134,1.0177939740478306,1.0176746824348253,1.017641999589858,0.9997815472914496
2011-06-29,1.025103344426216,1.0311625463864624,1.0311639871974325,1.0311642244242798,1.0
2011-06-30,1.064052366719671,1.0675723834646245,1.0675738751499138,1.067574120753123,1.0
2011-07-01,1.113354133687675,1.1148335047058955,1.1147067945051297,1.1146720687828746,0.9997815472914496
2011-07-05,1.1293990888142278,1.1386188283919039,1.1384894147891262,1.1384539481826579,0.9997815472914496
2011-07-06,1.1414339126082023,1.1432990702033798,1.1433059428930608,1.1433076391438692,1.0
2011-07-07,1.1876301592651632,1.20142068381334,1.2012905388342963,1.2012548573156152,0.9997815472914496
2011-07-08,1.177796711055038,1.1909757099528224,1.1908466964349915,1.1908113251261605,0.9997815472914496
2011-07-11,1.1146486444940078,1.12941188355086,1.12914683449452,1.1290743775835541,0.9995637140140199
2011-07-12,1.0874736320264629,1.097204320331729,1.097082169921204,1.0970486791857532,0.9997815472914495
