rule,date,equity,pre_rebalance_leverage,post_rebalance_leverage,contracts_fractional,rebalanced
Daily,2011-01-04,1.0,0.0,3.0000000000000004,0.0006680026720106881,True
Daily,2011-01-05,1.0323981295925184,2.937237140084115,3.0,0.0006822765478086915,True
Daily,2011-01-06,1.0412677247140314,2.982963852790215,3.0,0.000686173129959823,True
Daily,2011-01-07,1.036649053969463,3.009063710474618,3.0,0.0006841062828659017,True
Daily,2011-01-10,1.0498076171874884,2.9747785500446646,3.0,0.0006899064296960494,True
Daily,2011-01-11,1.0539470557656647,2.9921448832642374,3.0,0.0006917176038715803,True
Daily,2011-01-12,1.0800671389387468,2.9517854226883573,3.0000000000000004,0.0007030161459787895,True
Daily,2011-01-13,1.0776065824278211,3.0045667065347397,3.0,0.0007019476163898521,True
Daily,2011-01-14,1.1018237751932711,2.9560416224251433,3.0,0.0007123860615473736,True
Daily,2011-01-18,1.1171400755165397,2.972579445212031,3.0,0.0007189574657405597,True
Daily,2011-01-19,1.0651785537238765,3.097411038505284,3.0,0.000696346842704648,True
Daily,2011-01-20,1.0470735358135557,3.034582132564841,3.0,0.0006884112661496093,True
Daily,2011-01-21,1.0297057706677,3.0338863923829438,3.0,0.0006807221930372631,True
Daily,2011-01-24,1.0691876578638613,2.926146010186757,3.0,0.0006979031709294134,True
Daily,2011-01-25,1.0738882548961883,2.9910927226903468,3.0,0.0006999814806493351,True
Daily,2011-01-26,1.09786970747468,2.9564656932169022,3.0,0.000710288790688816,True
Daily,2011-01-27,1.1044312038512205,2.9879649452432413,3.0,0.0007131497226762079,True
Daily,2011-01-28,1.0258278439559314,3.1534015781679687,3.0,0.0006784575687539229,True
Daily,2011-01-31,1.0421108256060256,2.9687499999999996,3.0,0.0006855992273723853,True
Daily,2011-02-01,1.1003867599326784,2.894080996884735,3.0000000000000004,0.000710691125898393,True
Daily,2011-02-02,1.0964779587402373,3.0071297396564765,3.0,0.0007090061162238844,True
Daily,2011-02-03,1.0993139832051328,2.9948403740728797,3.0,0.0007102276191698931,True
Daily,2011-02-04,1.1218577154520395,2.9596570704880953,3.0,0.0007199086944077259,True
Daily,2011-02-07,1.1324831435755272,2.981388108005034,3.0,0.0007244028636943671,True
Daily,2011-02-08,1.1581994452366773,2.955592619618472,2.9999999999999996,0.000735286918994822,True
Daily,2011-02-09,1.1576411928176527,3.0008115384489664,3.0,0.0007350880682512347,True
Daily,2011-02-10,1.1567291942589168,3.0017297977935438,3.0,0.0007346644612632054,True
Daily,2011-02-11,1.1809731214806025,2.9589424572317267,3.0,0.0007448584809086109,True
Daily,2011-02-14,1.1861871308469627,2.991208791208792,3.0,0.0007470476314770417,True
Daily,2011-02-15,1.1859949775881178,3.0001711103036954,3.0,0.0007470050247248275,True
Daily,2011-02-16,1.2016820831073391,2.9738914214670533,3.0000000000000004,0.0007535631792061074,True
Daily,2011-02-17,1.2039427726449574,2.9962445232630923,3.0,0.0007545076912335225,True
Daily,2011-02-18,1.2060218463959989,2.9967051192386784,3.0,0.0007553372733169095,True
Daily,2011-02-22,1.0953649358550717,3.2020457418687505,3.0,0.0007076762802983127,True
Daily,2011-02-23,1.0696983372942828,3.047835552947486,3.0,0.0006965693535669304,True
Daily,2011-02-24,1.0763157461531685,2.98770359184554,3.0,0.0006994362045834519,True
Daily,2011-02-25,1.1287734614969274,2.9070535990911908,3.0,0.0007217990801429782,True
Daily,2011-02-28,1.135817740011606,2.9877490514081386,3.0,0.0007247587408348013,True
Daily,2011-03-01,1.0789241788560742,3.105463502015226,3.0,0.0007001454762206841,True
Daily,2011-03-02,1.0955451358886132,2.969504266586577,3.0,0.0007073357167041514,True
Daily,2011-03-03,1.163978681179849,2.882567375534016,3.0,0.0007361517958342041,True
Daily,2011-03-04,1.1464863667066183,3.030361721979882,3.0,0.0007287761627544983,True
Daily,2011-03-07,1.0949401867702417,3.094306357171458,3.0,0.0007065649731793343,True
Daily,2011-03-08,1.1080116387740595,2.9764055691359337,3.0,0.0007121660238504935,True
Daily,2011-03-09,1.0748959186650116,3.0616166077738516,3.0,0.0006978333165970645,True
Daily,2011-03-10,1.036515086252173,3.074057450628366,3.0,0.0006810217386676564,True
Daily,2011-03-11,1.0669837241555618,2.942735352980373,3.0,0.0006942741942233348,True
Daily,2011-03-14,1.0485854580086433,3.035091591260208,3.0,0.0006862470274925675,True
Daily,2011-03-15,0.9876599085306124,3.119747118242094,3.0,0.0006599063976819237,True
Daily,2011-03-16,0.9394867414998319,3.10255209552798,3.0,0.0006380937796014254,True
Daily,2011-03-17,0.9618200237858818,2.9535603715170278,2.9999999999999996,0.0006481267006643408,True
Daily,2011-03-18,0.9559868834799028,3.0122033898305083,3.0,0.000645500934152534,True
Daily,2011-03-21,0.99858994513397,2.9146735617323856,2.9999999999999996,0.0006643978344204723,True
Daily,2011-03-22,1.001938259099072,2.993621609168074,3.0,0.0006658134405354338,True
Daily,2011-03-23,1.012413192656844,2.9791540721732073,3.0,0.0006704723130177776,True
Daily,2011-03-24,1.0705805489971043,2.8914878680571396,3.0,0.0006956338849883718,True
Daily,2011-03-25,1.0824063250419067,2.978149100257069,3.0,0.0007007378021419335,True
Daily,2011-03-28,1.052785967764423,3.056117498760811,3.0000000000000004,0.0006878706094507827,True
Daily,2011-03-29,1.0894204291011562,2.932897984605542,3.0,0.0007036084579770654,True
Daily,2011-03-30,1.1064762420943433,2.96901800989127,2.9999999999999996,0.0007109506802919317,True
Daily,2011-03-31,1.108794990055643,2.9959704755676664,3.0,0.0007119068957018575,True
Daily,2011-04-01,1.1119985710863014,2.9942381562099873,3.0,0.0007132768255845422,True
Daily,2011-04-04,1.1148516783886395,2.9948816378758796,3.0,0.0007144958417359365,True
Daily,2011-04-05,1.0902015718487497,3.045221190606226,3.0,0.0007038856592158074,True
Daily,2011-04-06,1.0933690573152208,2.9942060085836912,2.9999999999999996,0.0007052477256387147,True
Daily,2011-04-07,1.0988264554009448,2.989913933851512,3.0,0.0007076267824842405,True
Daily,2011-04-08,1.0827392583463127,3.0298686764229776,3.0,0.0007006509437098659,True
Daily,2011-04-11,1.0687262394721153,3.0262237762237767,3.0,0.0006945794450641998,True
Daily,2011-04-12,1.048049131043896,3.0393053538355606,2.9999999999999996,0.0006855969021220427,True
Daily,2011-04-13,1.0693026350096793,2.9602479162214146,3.0,0.0006948035315202595,True
Daily,2011-04-14,1.0583713126628909,3.020809816024196,3.0,0.0006900171548383511,True
Daily,2011-04-15,1.070955399358708,2.9763463993780417,3.0,0.0006955008546544267,True
Daily,2011-04-18,1.0433235494008075,3.0531218394779662,3.0,0.0006833997048476905,True
Daily,2011-04-19,1.0720263370044105,2.9464513387165323,3.0000000000000004,0.0006958197773719671,True
Daily,2011-04-20,1.1332584774131436,2.891936144085142,3.0,0.00072182068625041,True
Daily,2011-04-21,1.1628531255494103,2.949099937926754,3.0,0.0007342789679326944,True
Daily,2011-04-25,1.1657902414211412,2.994961158933445,3.0,0.0007355143478997736,True
Daily,2011-04-26,1.176455199465688,2.9818693341669267,3.0,0.0007399864972003488,True
Daily,2011-04-27,1.2123445445799048,2.940793489318413,3.0,0.0007548845233996917,True
Daily,2011-04-28,1.2013987189906092,3.0182218033301917,3.0,0.0007503270858690179,True
Daily,2011-04-29,1.1998980648188713,3.002501302761855,2.9999999999999996,0.0007497020086340964,True
Daily,2011-05-02,1.2010226178318224,2.9981273408239697,3.0,0.000750170279720064,True
Daily,2011-05-03,1.183393616258401,3.0297939778129956,3.0,0.0007427933567894556,True
Daily,2011-05-04,1.1752102010795449,3.013621496749079,3.0,0.000739435948665821,True
Daily,2011-05-05,1.1678158415928868,3.0126635711270575,3.0,0.0007363277689740774,True
Daily,2011-05-06,1.159716236134172,3.0139682539682537,3.0,0.0007329152535080083,True
Daily,2011-05-09,1.1787720327253801,2.9676683937823833,3.0,0.0007409000834226148,True
Daily,2011-05-10,1.212482986521109,2.944393522761992,3.0,0.0007548923855065534,True
Daily,2011-05-11,1.1887038763776527,3.040008467400508,3.0,0.0007449575160085562,True
Daily,2011-05-12,1.2088177293098838,2.966721446179129,3.0,0.0007533139152325824,True
Daily,2011-05-13,1.1528968801670734,3.097161610572653,3.0,0.0007296815697259958,True
